Estrategia,Tempo,Acc
Grid Search,117.69488424062729,0.943125
Random Search,120.21116396784782,0.941875
Dummy Opt,36.92272275686264,0.942675
Bayesian Opt,49.591194957494736,0.9417
Successive Halving,109.64913228154182,0.9418749999999999
Cross Validation,715.713825315237,0.942375
