Estrategia,Acc,Tempo
GS,5630.323631763458,0.7534091552085102
RS,2798.5531511306763,0.7535789056753239
BO,33956.81956553459,0.7536920726531998
CV,85539.00000095367,0.7536354891642618
SH,15009.415284633636,0.7536354891642618
